,0
Gross Alpha particle activity (excluding radon and uranium),['SM 7110C']
Radium 226,"['Ra-226 GA', 'SM7500-Ra B']"
Radium 228,"['RA-228 GA', 'SM7500-Ra D']"
N-Nitrosodimethylamine (NDMA),"['EPA 625', 'EEA Agilent 521.1', 'NDMA, NDEA, NDPA', 'NDMA, NDEA, NDPA, NMOR']"
N-Nitrosodi-N-Propylamine (NDPA),"['EPA 625', 'EPA 625.1 SIM', 'EEA Agilent 521.1', 'NDMA, NDEA, NDPA', 'NDMA, NDEA, NDPA, NMOR']"
N-Nitrosodiphenylamine,"['EPA 625', 'EPA 625.1 SIM', 'EEA Agilent 521.1']"
N-Nitrosodiethylamine (NDEA),"['EEA Agilent 521.1', 'NDMA, NDEA, NDPA', 'NDMA, NDEA, NDPA, NMOR']"
Di(2-ethylhexyl)phthalate (DEHP),['EPA 625.1 SIM']
Copper,['EPA 200.7']
Lead,['EPA 200.7']
Arsenic,['EPA 200.7']
Antimony,['EPA 200.7']
Beryllium,['EPA 200.7']
Cadmium,['EPA 200.7']
Nickel,['EPA 200.7']
Silver,['EPA 200.7']
Thallium,['EPA 200.7']
"1,4-Dioxane",['EPA 8270C (M)Isotope Dil']
"1,2,3-Trichloropropane",['EPA 8260']
Benzene,['EPA 624.1']
Carbon Tetrachloride,['EPA 624.1']
Hexachlorobenzene,['EPA 608.3']
"1,1-Dichloroethane",['EPA 624.1']
"o-Dichlorobenzene (1,2-DCB)",['EPA 624.1']
"1,3-Dichlorobenzene",['EPA 624.1']
p-Dichlorobenzene,['EPA 624.1']
Chlordane,['EPA 608.3']
Endrin,['EPA 608.3']
Heptachlor,['EPA 608.3']
Heptachlor Epoxide,['EPA 608.3']
Lindane (Gamma-BHC),"['EPA 608, EPA 608.3']"
PCB 1242 Aroclor,['EPA 608.3']
PCB 1254 Aroclor,['EPA 608.3']
PCB 1221 Aroclor,['EPA 608.3']
PCB 1232 Aroclor,['EPA 608.3']
PCB 1248 Aroclor,['EPA 608.3']
PCB 1260 Aroclor,['EPA 608.3']
PCB 1016 Aroclor,['EPA 608.3']
Toxaphene,['EPA 608.3']
Methyl Tert Butyl Ether (MTBE),['EPA 624']
Carbon Disulfide,['EPA 624']
PFOS,['PFOS']
